bw_files	conditions	exp_id_date	target
/Data1/ext_data/albritton_2017_chip/GSE87741_DPY27_N2_MxEmb_MACS141_e5_average.ce11.bw	N2_mixed_embryo	albritton_dpy27	dpy27_chip_albritton
/Data1/ext_data/albritton_2017_chip/GSE87741_H3_N2_MxEmb_MACS141_e5_average.ce11.bw	N2_mixed_embryo	albritton_h3	h3_chip_albritton
/Data1/ext_data/albritton_2017_chip/GSE87741_SDC2_N2_MxEmb_MACS141_e5_average.ce11.bw	N2_mixed_embryo	albritton_sdc2	sdc2_chip_albritton
/Data1/ext_data/albritton_2017_chip/GSE87741_SDC3_N2_MxEmb_MACS141_e5_average.ce11.bw	N2_mixed_embryo	albritton_sdc3	sdc3_chip_albritton
/Data1/ext_data/ho_2017_dnase/GSE97425_merged.embryo.ce10.total.bw.ce11.bw	N2_mixed_embryo	ho_dhs	dhs
/Data1/ext_data/lieb_gro_2013/GSM1056279_GRO-seq_N2_Emb_replicateAVG_WS230_RPKM_minus_ce11.bw	N2_mixed_embryo	lieb_gro	gro
/Data1/ext_data/lieb_gro_2013/GSM1056279_GRO-seq_N2_Emb_replicateAVG_WS230_RPKM_plus_ce11.bw	N2_mixed_embryo	lieb_gro	gro
/Data1/ext_data/lieb_mnase_2017/GSM2098437_RT_rep1_MNaseTC_30m_smoothDyads_ce11.bw	N2_mixed_embryo	lieb_mnase	mnase
/Data1/ext_data/lieb_mnase_2017/GSM2098437_RT_rep2_MNaseTC_30m_smoothDyads_ce11.bw	N2_mixed_embryo	lieb_mnase	mnase
/Data1/ext_data/street_2019_chip/H4K20me1_N2_Emb_ControlRNAi_LW175_LW177_average.ce11.bw	N2_mixed_embryo	street_h4k20me1	h4k20me1_chip
/Data1/ext_data/street_2019_chip/RNAPolII_N2_Emb_CJ22_LW124_average.ce11.bw	N2_mixed_embryo	street_ama1	ama(SKIP)1_chip
/Data1/ext_data/snyder_chip/ENCFF779CGW.bw	N2_mixed_embryo	snyder_ama1	ama1_chip
/Data1/ext_data/anderson_2019_chip/GSM3680196_WT_DPY-27_chr.bw	N2_mixed_embryo	anderson_dpy27	dpy27_chip_anderson
/Data1/ext_data/anderson_2019_chip/GSM3680197_WT_SDC-3_chr.bw	N2_mixed_embryo	anderson_sdc3	sdc3_chip_anderson
