bam_files	conditions	exp_id_date	flowcell	strain	age	primary_antibody	heatshock_treatmemt	mtase1	mtase1_concentration	mtase1_incubation	mtase1_temp_duration	mtase_2	mtase2_concentration	mtase2_incubation	mtase2_temp_duration	exclude	exclusion_reason	description	file_size
/Data1/seq_data/TubeY9B_N2_fiberseq_timec_mpx_3_21_2023/demux/mod_mappings_barcode_07_modkit_adj_ambig.bam	N2_mixed_fiber_R9	Y9B-07_03_21_23	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	0	none	N2-30-min-Hia5-induction	273M
/Data1/seq_data/TubeY9B_N2_fiberseq_timec_mpx_3_21_2023/demux/mod_mappings_barcode_08_Ya_ambig.bam	N2_mixed_fiber_R9	Y9B-08_03_21_23	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	0	none	N2-120-min-Hia5-induction	570M
/Data1/seq_data/TubeD1a_N2_Fiberseq_Hia5_MSssI_12_22_22/basecalls/m6A/mod_mappings.sorted_Ya_ambig.bam	N2_mixed_fiber_R9	D1A-nb_12_22_22	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	0	none	N2; 2uM Hia5 30min	2.1G
/Data1/seq_data/TubeAD1_N2_fiberseq_6_13_23/mod_basecalls/mod_mappings.sorted.bam	N2_mixed_fiber_R10	AD1-nb_06_13_23	R10	N2	mixed_embryo	none	none	Hia5	1uM	none	120min_37C	none	none	none	none	0	none	N2; 1uM Hia5 120min	4.9G
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_05_Ya_ambig.bam	N2_mixed_fiber_R9	AB-05_04_10_23	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	0	none	N2-2uM-120-min	787M
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_04_Ya_ambig.bam	N2_mixed_fiber_R9	AB-04_04_10_23	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	0	none	N2-2uM-30-min	847M
/Data1/seq_data/Tube4_b2_2uM-Hia5_fiber-seq_11_21_22/basecalls/mod_mappings.sorted.m6Aonly_Ya_ambig.bam	N2_EXCLUDED_mixed_fiber_R9	4-nb_11_21_22	R9	N2	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	1	Outlier 21% methylation likely due to high proportion of burst cells in sample.	N2; 2uM Hia5 120min	323M
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/8_20_23_run/pod5_pass/barcode07/basecalls/barcode07.mod_mappings.sorted.bam	N2_mixed_fiber_R10	AH-07_08_19_23	R10	N2	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	0	none	N2-2uMHia5-0min-aux-rem	310M
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/8_20_23_run/pod5_pass/barcode08/basecalls/barcode08.mod_mappings.sorted.bam	N2_mixed_fiber_R10	AH-08_08_19_23	R10	N2	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	0	none	N2-2uMHia5-300min-aux-rem	90M
/Data1/seq_data/TubeH1_021_SDC2-AIDpAux_Hia5_MSssI_12_19/basecalls/m6A/mod_mappings.sorted_Ya_ambig.bam	SDC2_degron_mixed_fiber_R9	H1-nb_12_10_22	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	0	none	AID_SDC_2 + Auxin; 2uM Hia5 30min	1.7G
